movieID,budget,open_weekend,gross,ROI_open,ROI_gross
tt0110912,8000000,9311882,107928762, 0.164,12.491
tt1872181,200000000,91608337,202644001,-0.542, 0.013
tt0111161,25000000,727327,28341469,-0.971, 0.134
tt0076759,11000000,35906661,460935665, 2.264,40.903
tt0088763,19000000,11332134,197902294,-0.404, 9.416
tt0088847,1000000,5107599,38121485, 4.108,37.121
tt0089218,19000000,9105913,61389680,-0.521, 2.231
tt0102926,19000000,13766814,130742922,-0.275, 5.881
tt0107290,63000000,18620145,402348347,-0.704, 5.386
tt0110357,45000000,40888194,422783777,-0.091, 8.395
tt0114709,30000000,12491789,30144903,-0.584, 0.005
tt0118715,15000000,5533844,17439163,-0.631, 0.163
tt0120815,70000000,30576104,216540909,-0.563, 2.093
tt0137523,63000000,11035485,37030102,-0.825,-0.412
tt0133093,63000000,27788331,171479930,-0.559, 1.722
tt0120915,115000000,22469932,43456382,-0.805,-0.622
tt0172495,103000000,34819017,187705427,-0.662, 0.822
tt0120903,75000000,54471475,157299717,-0.274, 1.097
tt0241527,125000000,90294621,317557891,-0.278, 1.540
tt0120737,93000000,47211490,315544750,-0.492, 2.393
tt0167261,94000000,727645,342551365,-0.992, 2.644
tt0295701,70000000,44506103,142109382,-0.364, 1.030
tt0266543,94000000,16687773,41123892,-0.822,-0.563
tt0167260,94000000,72629713,377845905,-0.227, 3.020
tt0357413,26000000,28416365,84136909, 0.093, 2.236
tt0377092,17000000,24432195,86049418, 0.437, 4.062
tt0401792,40000000,29120273,74103820,-0.272, 0.853
tt0121766,113000000,108435841,380262555,-0.040, 2.365
tt0372784,150000000,48745440,206852432,-0.675, 0.379
tt0407887,90000000,26887467,132384315,-0.701, 0.471
tt0482571,40000000,14801808,53089891,-0.630, 0.327
tt0434409,54000000,25642640,70511035,-0.525, 0.306
tt0381061,150000000,40833156,167445960,-0.728, 0.116
tt0418279,150000000,70502384,319246193,-0.530, 1.128
tt0468569,185000000,158411483,534858444,-0.144, 1.891
tt0371746,140000000,98618668,318412101,-0.296, 1.274
tt0830515,200000000,67528882,168368427,-0.662,-0.158
tt0942385,92000000,25812796,110416702,-0.719, 0.200
tt1046173,175000000,54713046,150010209,-0.687,-0.143
tt1119646,35000000,44979319,277322503, 0.285, 6.924
tt0361748,75000000,38054676,120540719,-0.493, 0.607
tt0796366,140000000,75204289,257704099,-0.463, 0.841
tt0936501,25000000,24717037,145000989,-0.011, 4.800
tt1049413,175000000,68108790,293004164,-0.611, 0.674
tt0458525,150000000,85058003,179883157,-0.433, 0.199
tt1156398,23600000,24733155,75590286, 0.048, 2.203
tt1190080,200000000,65237614,166112167,-0.674,-0.169
tt0499549,237000000,77025481,760507625,-0.675, 2.209
tt1323594,69000000,56397125,251513985,-0.183, 2.645
tt1375670,80000000,40506562,162001186,-0.494, 1.025
tt0892769,165000000,43732319,217581231,-0.735, 0.319
tt1375666,160000000,62785337,292576195,-0.608, 0.829
tt1228705,200000000,128122480,312433331,-0.359, 0.562
tt1250777,30000000,19828687,48043505,-0.339, 0.601
tt1245526,58000000,21761408,90356857,-0.625, 0.558
tt1130884,80000000,41062440,128012934,-0.487, 0.600
tt1104001,170000000,44026211,172062763,-0.741, 0.012
tt0435761,200000000,110307189,415004880,-0.448, 1.075
tt0780504,15000000,11340461,35060689,-0.244, 1.337
tt1596343,125000000,86198765,209837675,-0.310, 0.679
tt1201607,125000000,169189427,381011219, 0.354, 2.048
tt1219289,27000000,18907302,79249455,-0.300, 1.935
tt1298650,250000000,90151958,241071802,-0.639,-0.036
tt1270798,160000000,55101604,146408305,-0.656,-0.085
tt1568346,90000000,12750000,102515793,-0.858, 0.139
tt1454029,25000000,26044590,169708112, 0.042, 5.788
tt1637688,40000000,12050368,37553932,-0.699,-0.061
tt1232829,42000000,36302612,138447667,-0.136, 2.296
tt0948470,230000000,62004688,262030663,-0.730, 0.139
tt1605630,50000000,21514080,56724080,-0.570, 0.134
tt0848228,220000000,207438708,623357910,-0.057, 1.833
tt1440129,209000000,25534825,65233400,-0.878,-0.688
tt1194173,125000000,38142825,113203870,-0.695,-0.094
tt1217209,185000000,66323594,237283207,-0.641, 0.283
tt1259521,30000000,14743614,42043633,-0.509, 0.401
tt1371111,102000000,9612247,27108272,-0.906,-0.734
tt1345836,250000000,160887295,448139099,-0.356, 0.793
tt1077368,100000000,29685274,79711678,-0.703,-0.203
tt1853728,100000000,30688000,162804648,-0.693, 0.628
tt1343727,35000000,6278491,13414714,-0.821,-0.617
tt1855199,7000000,13152683,41003371, 0.879, 4.858
tt1764651,92000000,28591370,85017401,-0.689,-0.076
tt1907668,31000000,24900566,93772375,-0.197, 2.025
tt1694020,40000000,5390000,37101011,-0.865,-0.072
tt0903624,180000000,84617303,303003568,-0.530, 0.683
tt0837562,85000000,42522194,148313048,-0.500, 0.745
tt0790724,57000000,15210156,80070736,-0.733, 0.405
tt0401729,263700000,30180188,73078100,-0.886,-0.723
tt1764234,15000000,6812900,15026056,-0.546, 0.002
tt1212450,26000000,10001566,37400127,-0.615, 0.438
tt0454876,120000000,22451514,124987023,-0.813, 0.042
tt1276104,30000000,20801552,66486205,-0.307, 1.216
tt1915581,7000000,39127170,113721571, 4.590,15.246
tt1568338,42000000,8001932,18600911,-0.809,-0.557
tt1258972,15000000,7910980,15634090,-0.473, 0.042
tt1560747,32000000,736311,16247159,-0.977,-0.492
tt1409024,225000000,54592779,179020854,-0.757,-0.204
tt1047540,25000000,14800000,77264926,-0.408, 2.091
tt1636826,12000000,21051363,54731865, 0.754, 3.561
tt1446714,130000000,51050101,126464904,-0.607,-0.027
tt1234719,65000000,14276668,44800706,-0.780,-0.311
tt1446192,145000000,23773465,103412758,-0.836,-0.287
tt1615065,45000000,16016910,47307550,-0.644, 0.051
tt1931533,15000000,4174915,15024049,-0.722, 0.002
tt1922777,3000000,18007634,47917444, 5.003,14.972
tt1074638,200000000,88364714,304360277,-0.558, 0.522
tt1735898,170000000,56217700,155136755,-0.669,-0.087
tt1397280,45000000,49514769,139854287, 0.100, 2.108
tt1637725,50000000,54415205,218815487, 0.088, 3.376
tt1232200,70000000,13453714,36931089,-0.808,-0.472
tt1758830,35000000,12030690,67523385,-0.656, 0.929
tt1386703,125000000,25577758,58877969,-0.795,-0.529
tt1772341,165000000,49038712,189412677,-0.703, 0.148
tt1351685,195000000,27202226,65171860,-0.861,-0.666
tt1623205,215000000,79110453,234911825,-0.632, 0.093
tt1606378,92000000,24834845,67346556,-0.730,-0.268
tt1924429,20000000,131145,2319187,-0.993,-0.884
tt2053463,30000000,9303145,32154410,-0.690, 0.072
tt2101441,5000000,263002,14123773,-0.947, 1.825
tt0790628,30000000,10177257,22525921,-0.661,-0.249
tt2302755,70000000,30373794,98895417,-0.566, 0.413
tt1817273,15000000,279457,21383298,-0.981, 0.426
tt1583421,130000000,40501814,122512052,-0.688,-0.058
tt0481499,135000000,43639736,187165546,-0.677, 0.386
tt2243537,2000000,18101682,40041683, 8.051,19.021
tt0816711,190000000,66411834,202359711,-0.650, 0.065
tt1483013,120000000,37054485,89021735,-0.691,-0.258
tt1731141,110000000,27017351,61737191,-0.754,-0.439
tt1170358,225000000,73645197,258366855,-0.673, 0.148
tt0770828,225000000,116619362,291045518,-0.482, 0.294
tt1663662,190000000,37285325,101785482,-0.804,-0.464
tt1951264,130000000,161125000,424645577, 0.239, 2.267
tt1210819,215000000,29210849,89302115,-0.864,-0.585
tt1430132,120000000,53113752,132556852,-0.557, 0.105
tt1535108,115000000,29807393,92572085,-0.741,-0.195
tt1815862,130000000,27520040,60522097,-0.788,-0.534
tt1300854,200000000,174144585,409013994,-0.129, 1.045
tt1245492,32000000,20719162,101362894,-0.353, 2.168
tt0790736,130000000,12691415,33592415,-0.902,-0.742
tt1981115,170000000,85737841,206362140,-0.496, 0.214
tt1408101,190000000,70165559,228778661,-0.631, 0.204
tt1670345,75000000,29350389,117723989,-0.609, 0.570
tt1951261,103000000,41775000,112186625,-0.594, 0.089
